jahr;vsnr;avbg;name;wert
2020;20230325153307170; BG111_Rente;iAK;12148.485248241936
2020;20230325153307170; BG111_Rente;VK_Stueck;3796.4016400756045
2020;20230325153307326; BG113_Risiko;iAK;733764.9831536235
2020;20230325153307326; BG113_Risiko;VK_Stueck;229301.55723550732
2021;20230325153307170; BG111_Rente;iAK;0.0
2021;20230325153307170; BG111_Rente;VK_Stueck;3796.4016400756045
2021;20230325153307326; BG113_Risiko;iAK;0.0
2021;20230325153307326; BG113_Risiko;VK_Stueck;229301.55723550732
2022;20230325153307170; BG111_Rente;iAK;0.0
2022;20230325153307170; BG111_Rente;VK_Stueck;3796.4016400756045
2022;20230325153307326; BG113_Risiko;iAK;0.0
2022;20230325153307326; BG113_Risiko;VK_Stueck;229301.55723550732
2022;20230325153617573; BG113_Risiko;iAK;0.0
2022;20230325153617573; BG113_Risiko;VK_Stueck;229301.55723550732
2022;20230325153617723; BG113_Risiko;iAK;0.0
2022;20230325153617723; BG113_Risiko;VK_Stueck;229301.55723550732
